9.86e-3, -2.061e-2
3.003e-2, -2.061e-2
5.02e-2, -2.061e-2
7.037e-2, -2.061e-2
9.054e-2, -2.061e-2
0.111, -2.062e-2
0.131, -2.062e-2
0.151, -2.062e-2
0.171, -2.062e-2
0.191, -2.062e-2
0.212, -2.062e-2
0.232, -2.062e-2
0.252, -2.062e-2
0.272, -2.063e-2
0.292, -2.063e-2
0.312, -3.241e-2
0.332, -3.241e-2
0.353, -3.241e-2
0.373, -3.241e-2
0.393, -3.241e-2
0.413, -3.241e-2
0.433, -3.241e-2
0.453, -3.241e-2
0.474, -3.242e-2
0.494, -3.242e-2
0.514, -3.242e-2
0.534, -3.242e-2
0.554, -3.242e-2
0.575, -3.242e-2
0.595, -3.242e-2
0.615, -3.242e-2
0.635, -3.243e-2
0.655, -3.243e-2
0.675, -3.243e-2
0.696, -3.243e-2
0.716, -3.243e-2
0.736, -3.243e-2
0.756, -3.243e-2
0.776, -3.244e-2
0.796, -3.244e-2
0.817, -3.244e-2
0.837, -3.244e-2
0.857, -3.244e-2
0.877, -3.244e-2
0.897, -3.244e-2
0.917, -3.244e-2
0.938, -3.245e-2
0.958, -3.245e-2
0.978, -3.245e-2
0.998, -3.245e-2
1.018, -3.245e-2
1.038, -3.245e-2
1.059, -3.245e-2
1.079, -3.246e-2
1.099, -3.246e-2
1.119, -3.246e-2
1.139, -3.246e-2
1.159, -3.246e-2
1.18, -3.246e-2
1.2, -3.246e-2
1.22, -3.246e-2
1.24, -3.247e-2
1.26, -3.247e-2
1.28, -3.247e-2
1.301, -3.247e-2
1.321, -3.247e-2
1.341, -4.425e-2
1.361, -4.425e-2
1.381, -4.425e-2
1.401, -4.425e-2
1.422, -4.425e-2
1.442, -4.426e-2
1.462, -4.426e-2
1.482, -4.426e-2
1.502, -4.426e-2
1.522, -4.426e-2
1.543, -4.426e-2
1.563, -4.426e-2
1.583, -4.426e-2
1.603, -4.427e-2
1.623, -4.427e-2
1.643, -4.427e-2
1.664, -4.427e-2
1.684, -4.427e-2
1.704, -4.427e-2
1.724, -4.427e-2
1.744, -4.428e-2
1.764, -4.428e-2
1.785, -4.428e-2
1.805, -4.428e-2
1.825, -4.428e-2
1.845, -4.428e-2
1.865, -4.428e-2
1.885, -4.428e-2
1.906, -4.429e-2
1.926, -4.429e-2
1.946, -4.429e-2
